地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途
西海路三段３９巷２弄３號五樓,110/11/30,700.0,21.7,32.21,73.74%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
金門城３０之９號三樓,110/11/26,530.0,17.3,30.63,81.99%,公寓(5樓含以下無電梯),11.0,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
民權路２２６巷２弄１２號六樓之２,110/11/24,830.0,28.0,36.97,70.73%,住宅大樓(11層含以上有電梯),5.0,六層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,2房2廳1衛,100.0,有,有,住家用
賢聚４２之５號三樓,110/11/22,660.0,21.2,31.09,76.29%,華廈(10層含以下有電梯),4.0,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
富康一村９巷１８號三樓之１,110/11/16,310.0,26.4,11.75,64.39%,公寓(5樓含以下無電梯),13.0,三層/五層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用
西海路三段３９巷２弄３號四樓,110/11/11,660.0,20.5,32.21,73.74%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
民權路２２６巷２弄１２號四樓之７,110/11/09,1000.0,27.6,36.25,67.50%,住宅大樓(11層含以上有電梯),5.0,四層/十一層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,住家用
金門城８８之９號五樓,110/11/08,460.0,19.5,23.56,80.58%,華廈(10層含以下有電梯),2.0,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,有,有,住家用
山前２之２號２樓,110/11/03,670.0,20.6,32.5,77.54%,華廈(10層含以下有電梯),1.0,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
金門城１１３之３號三樓,110/11/02,370.0,13.5,27.33,79.98%,公寓(5樓含以下無電梯),9.0,三層/三層,房地(土地+建物),土:1 建:2車:0,2房1廳2衛,,無,無,住家用
大古崗１２６號二樓,110/10/28,500.0,16.6,30.17,68.91%,華廈(10層含以下有電梯),1.0,二層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用
西海路三段１０６巷１７弄６號二樓,110/10/06,655.0,15.0,43.67,62.32%,公寓(5樓含以下無電梯),5.0,二層/三層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,無,無,住家用
庵前４２之２號,110/10/01,850.0,23.7,35.81,74.96%,華廈(10層含以下有電梯),1.0,一層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
庵前４２之３號,110/09/30,805.0,22.5,35.81,74.96%,華廈(10層含以下有電梯),1.0,一層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
金門城２５之３號三樓,110/09/27,209.0,20.8,10.05,83.44%,公寓(5樓含以下無電梯),6.0,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用
山前２之２號３樓,110/09/25,665.0,20.5,32.5,77.54%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
