地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易筆棟數,建物現況格局,主要用途
民權路２２６巷２弄１２號六樓之７,2020/11/7,1188,30,47.17,67.49%,住宅大樓(11層含以上有電梯),4,六層/十一層,土:2 建:1車:1,3房2廳2衛,住家用
民生路２５號９樓之８,2020/11/3,650,22.8,28.48,71.61%,住宅大樓(11層含以上有電梯),20,九層/十二層,土:1 建:1車:0,2房2廳2衛,住家用
民權路２２６巷２弄１２號九樓之１,2020/9/29,1750,31.8,70.56,66.85%,住宅大樓(11層含以上有電梯),4,九層/十一層,土:2 建:1車:2,4房2廳2衛,住家用
民權路２２６巷２弄１２號九樓之５,2020/9/22,1700,32.8,59.63,66.85%,住宅大樓(11層含以上有電梯),4,九層/十一層,土:2 建:1車:1,4房2廳2衛,住家用
民生路２５號９樓之７,2020/8/13,787,24.9,31.66,72.21%,住宅大樓(11層含以上有電梯),20,九層/十二層,土:1 建:1車:0,3房1廳2衛,住家用
民權路２２６巷２弄１２號八樓之１,2020/7/15,1660,32,59.63,66.86%,住宅大樓(11層含以上有電梯),4,八層/十一層,土:2 建:1車:1,4房2廳2衛,住家用
民權路２２６巷２弄１２號四樓之６,2020/6/19,746,28.6,26.05,70.74%,住宅大樓(11層含以上有電梯),,四層/十一層,土:2 建:1車:0,2房2廳1衛,住家用
民權路２２６巷２弄１２號四樓之５,2020/6/18,1220,17.3,75.75,69.36%,住宅大樓(11層含以上有電梯),4,四層/十一層,土:2 建:2車:1,3房2廳2衛,住家用
民權路２２６巷２弄１２號七樓之３,2020/6/3,1355,32.4,49.69,68.44%,住宅大樓(11層含以上有電梯),4,七層/十一層,土:2 建:1車:1,3房2廳2衛,住家用
民權路２２６巷２弄１２號七樓之７,2020/6/3,1147,32,35.83,68.30%,住宅大樓(11層含以上有電梯),4,七層/十一層,土:2 建:1車:0,3房2廳2衛,住家用
民權路２２６巷２弄１２號八樓之２,2020/5/26,1680,32.4,58.17,67.24%,住宅大樓(11層含以上有電梯),4,八層/十一層,土:2 建:1車:1,4房2廳2衛,住家用
民權路２２６巷２弄１２號五樓之２,2020/5/22,810,31.1,26.05,70.74%,住宅大樓(11層含以上有電梯),4,五層/十一層,土:2 建:1車:0,2房2廳1衛,住家用
民權路２２６巷２弄１２號七樓之５,2020/5/21,1355,32.4,49.69,68.44%,住宅大樓(11層含以上有電梯),4,七層/十一層,土:2 建:1車:1,3房2廳2衛,住家用
民權路２２６巷２弄１２號四樓之３,2020/5/18,1210,28.6,49.69,68.44%,住宅大樓(11層含以上有電梯),4,四層/十一層,土:2 建:1車:1,3房2廳2衛,住家用
民權路２２６巷２弄１２號九樓之２,2020/5/12,1670,32.4,59.4,67.21%,住宅大樓(11層含以上有電梯),4,九層/十一層,土:2 建:1車:1,4房2廳2衛,住家用
民權路２２６巷２弄１２號五樓之３,2020/4/16,1210,31.2,38.77,68.44%,住宅大樓(11層含以上有電梯),3,五層/十一層,土:2 建:1車:0,3房2廳2衛,住家用
民權路２２６巷２弄１２號五樓之６,2020/4/16,810,31.1,26.05,70.74%,住宅大樓(11層含以上有電梯),3,五層/十一層,土:2 建:1車:0,2房2廳1衛,住家用
民權路２２６巷２弄１２號三樓之５,2019/12/25,1228,31.7,38.77,68.44%,住宅大樓(11層含以上有電梯),3,三層/十一層,土:2 建:1車:0,3房2廳2衛,住家用
民權路２２６巷２弄１２號十樓之２,2019/1/25,1842,38,48.48,67.21%,住宅大樓(11層含以上有電梯),2,十層/十一層,土:2 建:1車:0,4房2廳2衛,住家用
民權路２２６巷２弄１２號九樓之３,2018/9/10,1750,32,70.32,67.20%,住宅大樓(11層含以上有電梯),2,九層/十一層,土:2 建:1車:2,4房2廳2衛,住家用
民權路２２６巷２弄１２號十樓之５,2018/7/20,1850,38,48.71,66.85%,住宅大樓(11層含以上有電梯),2,十層/十一層,土:2 建:1車:0,4房2廳2衛,住家用
民權路２２６巷２弄１２號十樓之３,2018/7/20,1842,38,48.48,67.21%,住宅大樓(11層含以上有電梯),2,十層/十一層,土:2 建:1車:0,4房2廳2衛,住家用
民權路２２６巷２弄１２號八樓之３,2018/7/19,1730,33.4,59.66,67.24%,住宅大樓(11層含以上有電梯),2,八層/十一層,土:2 建:1車:1,4房2廳2衛,住家用
民權路２２６巷２弄１２號八樓之５,2017/12/15,1824,34.8,59.63,66.86%,住宅大樓(11層含以上有電梯),1,八層/十一層,土:2 建:1車:1,4房2廳2衛,住家用
民權路２２６巷２弄１２號三樓之２,2017/10/30,838,32.2,26.05,70.75%,住宅大樓(11層含以上有電梯),1,三層/十一層,土:2 建:1車:0,2房2廳1衛,住家用
民權路２２６巷２弄１２號六樓之５,2017/8/30,1249,32.2,38.77,68.44%,住宅大樓(11層含以上有電梯),1,六層/十一層,土:2 建:1車:0,3房2廳2衛,住家用
民權路２２６巷２弄１２號六樓之３,2017/8/30,1249,32.2,38.77,68.44%,住宅大樓(11層含以上有電梯),1,六層/十一層,土:2 建:1車:0,3房2廳2衛,住家用
民族路９３巷５弄４１號,2016/4/30,1150,15.3,75.37,,店面（店舖),35,"一層,二層,三層,騎樓/三層",土:1 建:1車:0,6房3廳3衛,住家用
民族路９３巷５弄４３號,2016/4/30,1150,15,76.74,,店面（店舖),35,"一層,二層,三層,騎樓/三層",土:1 建:1車:0,6房3廳3衛,住家用
中興路１７３巷６之１號,2012/9/23,465,17.3,26.9,,店面（店舖),52,"一層,二層,三層/三層",土:2 建:1車:0,2房2廳2衛,住家用
民生路６７號,2012/6/4,5500,53.5,102.72,,店面（店舖),47,"一層,二層,騎樓/二層",土:4 建:2車:0,4房6廳6衛,住家用
民生路２５號六樓之７,2019/6/13,700,27.5,25.42,,辦公商業大樓,19,六層/十二層,土:1 建:1車:0,2房1廳1衛,住家用
