地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易筆棟數,建物現況格局,主要用途
庵前４３之２號二樓,2021/8/18,410,20.6,19.95,88.05%,公寓(5樓含以下無電梯),6,二層/三層,土:1 建:1車:0,2房2廳1衛,住家用
西海路三段１０６巷１７弄５號,2021/8/9,530,17.3,30.65,65.17%,公寓(5樓含以下無電梯),4,一層/三層,土:1 建:1車:0,2房1廳2衛,住家用
庵前９之５號,2021/7/17,620,24.4,25.36,91.40%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
庵前９之６號三樓,2021/7/17,615,21.9,28.03,83.59%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
庵前９之３號二樓,2021/7/16,680,21.8,31.25,76.81%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
庵前９之３號三樓,2021/7/16,689,22.1,31.25,76.81%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
庵前９之６號二樓,2021/7/16,615,21.9,28.03,83.59%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
庵前９之６號,2021/7/15,615,24,25.63,91.41%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
庵前９之３號,2021/7/15,680,24.2,28.09,85.43%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
庵前９之５號二樓,2021/7/15,615,22.2,27.76,83.51%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
庵前９之５號三樓,2021/7/15,620,22.3,27.76,83.51%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小古崗１９之９號,2021/7/3,600,23,26.09,91.93%,公寓(5樓含以下無電梯),4,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小西門５之１號,2021/6/22,520,20.5,25.33,87.32%,公寓(5樓含以下無電梯),1,一層/三層,土:1 建:2車:0,3房2廳3衛,住家用
金門城５之１１號,2021/6/1,349,19.4,17.98,85.48%,公寓(5樓含以下無電梯),6,一層/三層,土:1 建:1車:0,2房1廳2衛,住家用
金門城５之１０號三樓,2021/5/19,310,15.8,19.58,78.51%,公寓(5樓含以下無電梯),6,三層/三層,土:1 建:1車:0,2房1廳2衛,住家用
西海路三段１０６巷１７弄７號,2021/4/30,630,15.2,41.42,65.62%,公寓(5樓含以下無電梯),4,一層/三層,土:1 建:1車:1,3房1廳2衛,住家用
西海路三段１０６巷１７弄１０號二樓,2021/4/17,538,14.1,38.28,58.68%,公寓(5樓含以下無電梯),4,二層/三層,土:1 建:1車:1,2房2廳2衛,住家用
西海路三段１０６巷１７弄１０號,2021/3/30,538,15.4,34.89,65.17%,公寓(5樓含以下無電梯),4,一層/三層,土:1 建:1車:1,2房2廳2衛,住家用
金門城８８之８號四樓,2021/3/19,645,19.4,33.33,80.34%,公寓(5樓含以下無電梯),1,四層/五層,土:1 建:1車:0,3房1廳2衛,住家用
金門城３０之６號,2021/2/25,465,15.3,30.34,82.13%,公寓(5樓含以下無電梯),10,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小西門５０之５號,2021/2/1,510,12.9,39.45,88.80%,公寓(5樓含以下無電梯),3,"一層,地下一層/三層",土:1 建:1車:0,3房2廳2衛,住家用
庵前２９之７號三樓之１,2021/1/31,420,21.5,19.58,88.55%,公寓(5樓含以下無電梯),4,三層/三層,土:1 建:1車:0,2房1廳1衛,住家用
小西門５０之２號,2021/1/18,480,12.2,39.45,88.80%,公寓(5樓含以下無電梯),2,"一層,地下一層/三層",土:1 建:1車:0,3房2廳2衛,住家用
小西門５０之３號,2021/1/18,500,12,41.83,90.86%,公寓(5樓含以下無電梯),2,"一層,地下一層/三層",土:1 建:1車:0,3房2廳2衛,住家用
