地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,樓別/樓高
西海路三段３９巷２弄２號五樓,2022/5/12,660.0,20.5,32.16,73.70,華廈(10層含以下有電梯),五層/五層
西海路三段１０６巷１７弄５號三樓,2022/5/5,598.0,15.9,37.66,59.13,公寓(5樓含以下無電梯),三層/三層
民權路２２６巷２弄１２號三樓之３,2022/4/29,1280.0,30.4,48.21,68.44,住宅大樓(11層含以上有電梯),三層/十一層
民權路１２２巷１弄６號四樓之１,2022/4/29,340.0,31.3,10.85,75.08,公寓(5樓含以下無電梯),四層/四層
金門城８８之３號,2022/4/29,555.0,19.8,28.05,81.70,公寓(5樓含以下無電梯),一層/三層
金門城２３０號,2022/4/27,540.0,23.0,23.5,73.75,華廈(10層含以下有電梯),一層/五層
金門城２２７號五樓,2022/4/20,520.0,22.1,23.5,73.75,華廈(10層含以下有電梯),五層/五層
大古崗１２６號,2022/4/19,540.0,18.6,29.0,71.70,公寓(5樓含以下無電梯),一層/五層
西海路三段３９巷２弄３號三樓,2022/4/14,660.0,20.5,32.21,73.74,華廈(10層含以下有電梯),三層/五層
山前２之１號５樓,2022/4/13,670.0,23.3,28.74,77.59,華廈(10層含以下有電梯),五層/五層
民權路２２６巷４弄１５號５樓,2022/4/6,780.0,26.2,29.76,80.42,公寓(5樓含以下無電梯),五層/五層
前水頭１３９之１號二樓,2022/3/30,1390.0,22.2,62.56,80.43,公寓(5樓含以下無電梯),二層/三層
庵前４３之５號三樓,2022/3/25,320.0,22.2,14.44,86.01,公寓(5樓含以下無電梯),三層/三層
大學路５３巷６弄９號二樓,2022/3/25,250.0,20.8,12.01,71.51,公寓(5樓含以下無電梯),二層/三層
民權路２２６巷２弄１２號五樓之７,2022/3/15,1088.0,21.6,55.12,53.56,,五層/十一層
珠浦南路５０巷３弄７號五樓,2022/3/10,407.0,25.1,16.2,63.14,華廈(10層含以下有電梯),五層/五層
庵前５３之５號二樓,2022/3/4,690.0,20.9,33.01,87.16,公寓(5樓含以下無電梯),二層/三層
金門城１０３之５號,2022/2/22,580.0,20.4,28.47,80.60,華廈(10層含以下有電梯),一層/三層
浴井２６號二樓,2022/2/16,600.0,21.6,27.79,83.62,公寓(5樓含以下無電梯),二層/三層
大學路５３巷６弄１６號,2022/1/19,180.0,21.6,8.35,75.80,公寓(5樓含以下無電梯),一層/三層
民權路２２６巷４弄６號二樓,2022/1/19,850.0,24.6,34.52,73.57,華廈(10層含以下有電梯),二層/七層
民權路２２６巷２弄１２號七樓之２,2022/1/18,850.0,45.1,26.05,70.74,住宅大樓(11層含以上有電梯),七層/十一層
小古崗１９之９號二樓,2022/1/6,580.0,21.0,27.62,86.83,公寓(5樓含以下無電梯),二層/三層
大古崗１２６號五樓,2022/1/4,520.0,17.2,30.17,68.91,華廈(10層含以下有電梯),五層/五層
珠浦西路６巷２弄１號五樓,2021/12/17,710.0,28.8,24.65,62.01,華廈(10層含以下有電梯),五層/七層
金門城１０３之５號三樓,2021/12/13,580.0,18.6,31.22,73.48,華廈(10層含以下有電梯),三層/三層
西海路三段３９巷２弄５號三樓,2021/12/2,665.0,20.7,32.16,73.70,華廈(10層含以下有電梯),三層/五層
民權路２２６巷２弄１２號四樓之１,2021/12/1,1080.0,27.0,45.69,67.50,住宅大樓(11層含以上有電梯),四層/十一層
金門城２２８號三樓,2021/12/1,485.0,20.6,23.5,73.75,華廈(10層含以下有電梯),三層/五層
金門城２２８號四樓,2021/12/1,500.0,21.3,23.5,73.75,華廈(10層含以下有電梯),四層/五層
金門城２２８號五樓,2021/12/1,500.0,21.3,23.5,73.75,華廈(10層含以下有電梯),五層/五層
金門城２２９號,2021/12/1,540.0,23.0,23.5,73.75,華廈(10層含以下有電梯),一層/五層
金門城２２９號二樓,2021/12/1,500.0,21.3,23.5,73.75,華廈(10層含以下有電梯),二層/五層
金門城２２９號三樓,2021/12/1,485.0,20.6,23.5,73.75,華廈(10層含以下有電梯),三層/五層
金門城２２９號四樓,2021/12/1,465.0,19.8,23.5,73.75,華廈(10層含以下有電梯),四層/五層
金門城２２９號五樓,2021/12/1,520.0,22.1,23.5,73.75,華廈(10層含以下有電梯),五層/五層
金門城２３０號二樓,2021/12/1,480.0,20.4,23.5,73.75,華廈(10層含以下有電梯),二層/五層
金門城２３０號三樓,2021/12/1,485.0,20.6,23.5,73.75,華廈(10層含以下有電梯),三層/五層
金門城２３０號四樓,2021/12/1,470.0,20.0,23.5,73.75,華廈(10層含以下有電梯),四層/五層
金門城２３０號五樓,2021/12/1,520.0,22.1,23.5,73.75,華廈(10層含以下有電梯),五層/五層
西海路三段３９巷２弄３號五樓,2021/11/30,700.0,21.7,32.21,73.74,華廈(10層含以下有電梯),五層/五層
金門城３０之９號三樓,2021/11/26,530.0,17.3,30.63,81.99,公寓(5樓含以下無電梯),三層/三層
民權路２２６巷２弄１２號六樓之２,2021/11/24,830.0,28.0,36.97,70.73,住宅大樓(11層含以上有電梯),六層/十一層
賢聚４２之５號三樓,2021/11/22,660.0,21.2,31.09,76.29,華廈(10層含以下有電梯),三層/四層
富康一村９巷１８號三樓之１,2021/11/16,310.0,26.4,11.75,64.39,公寓(5樓含以下無電梯),三層/五層
西海路三段３９巷２弄３號四樓,2021/11/11,660.0,20.5,32.21,73.74,華廈(10層含以下有電梯),四層/五層
民權路２２６巷２弄１２號四樓之７,2021/11/9,1000.0,27.6,36.25,67.50,住宅大樓(11層含以上有電梯),四層/十一層
金門城８８之９號五樓,2021/11/8,460.0,19.5,23.56,80.58,華廈(10層含以下有電梯),五層/五層
山前２之２號２樓,2021/11/3,670.0,20.6,32.5,77.54,華廈(10層含以下有電梯),二層/五層
金門城１１３之３號三樓,2021/11/2,370.0,13.5,27.33,79.98,公寓(5樓含以下無電梯),三層/三層
大古崗１２６號二樓,2021/10/28,500.0,16.6,30.17,68.91,華廈(10層含以下有電梯),二層/五層
西海路三段１０６巷１７弄６號二樓,2021/10/6,655.0,15.0,43.67,62.32,公寓(5樓含以下無電梯),二層/三層
庵前４２之２號,2021/10/1,850.0,23.7,35.81,74.96,華廈(10層含以下有電梯),一層/五層
庵前４２之３號,2021/9/30,805.0,22.5,35.81,74.96,華廈(10層含以下有電梯),一層/五層
金門城２５之３號三樓,2021/9/27,209.0,20.8,10.05,83.44,公寓(5樓含以下無電梯),三層/三層
山前２之２號３樓,2021/9/25,665.0,20.5,32.5,77.54,華廈(10層含以下有電梯),三層/五層
民權路２２６巷２弄１２號六樓之６,2021/9/14,742.0,28.5,26.05,70.74,住宅大樓(11層含以上有電梯),六層/十一層
民權路２２６巷２弄１２號四樓之２,2021/9/8,800.0,30.7,26.05,70.74,住宅大樓(11層含以上有電梯),四層/十一層
金門城６８之６號三樓,2021/9/8,455.0,17.9,25.41,82.93,公寓(5樓含以下無電梯),三層/三層
金門城３０之９號二樓,2021/9/7,495.0,16.2,30.53,82.25,公寓(5樓含以下無電梯),二層/三層
