地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註
莒光路８５巷１６號,,111/09/18,1100,0,38.54,,透天厝,33,全/三層,房地(土地+建物),土:2 建:1車:0,4房3廳3衛,,無,無,住商用,(包含)公共設施保留地(用地);
慈湖路一段３２之６號,,111/09/14,3800,0,109.22,,透天厝,10,全/二層,房地(土地+建物),土:1 建:1車:0,9房2廳10衛,,無,無,農業用,含裝潢費;含傢俱設備費;頂樓加蓋;
金門城８９之２號三樓,,111/09/14,460,20.6,22.38,85.22%,公寓(5樓含以下無電梯),6,三層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,
金門城３０之１號二樓,,111/09/06,600,19.8,30.35,82.74%,公寓(5樓含以下無電梯),12,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
山前１１之２號１樓,,111/09/01,648,21.4,30.29,91.56%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
珠浦北路５巷８之１號,,111/08/29,380,0,13.07,,透天厝,26,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
金門城１０３之３號二樓,,111/08/26,590,18.9,31.22,73.48%,華廈(10層含以下有電梯),1,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,
西海路三段３９巷２弄２號四樓,,111/08/24,660,20.5,32.16,73.70%,華廈(10層含以下有電梯),1,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,土地264萬元，建物396萬元 契稅12630元由賣方支付
山前１１之１號３樓,,111/08/18,750,24,31.28,88.66%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
金山路１２１巷１６弄２２號二樓,,111/08/17,870,21.6,40.19,80.55%,公寓(5樓含以下無電梯),8,二層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
民族路９３巷５弄３７號,,111/08/10,1800,0,58.53,,透天厝,42,全/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住商用,
菜市場路１７號,,111/08/05,900,0,24.31,,透天厝,54,全/二層,房地(土地+建物),土:3 建:1車:0,2房2廳2衛,,無,無,住家用,陽台外推;
