Location,Year of transaction,Total price (million),price,Total area,Percentage of main building,Type
庵前４２之５號二樓,2014/3/4,365,21.8,16.71,81.97,公寓(5樓含以下無電梯)
庵前４２之５號三樓,2014/3/4,380,22.7,16.71,81.97,公寓(5樓含以下無電梯)
庵前４２之６號,2014/3/4,350,21.2,16.52,81.76,公寓(5樓含以下無電梯)
庵前４２之６號三樓,2014/3/4,350,21.2,16.52,81.76,公寓(5樓含以下無電梯)
庵前４２之６號二樓,2014/3/4,348,21.1,16.52,81.76,公寓(5樓含以下無電梯)
庵前４２之７號,2014/3/4,400,24.2,16.52,81.76,公寓(5樓含以下無電梯)
庵前４２之７號二樓,2014/3/4,350,21.2,16.52,81.76,公寓(5樓含以下無電梯)
庵前４２之７號三樓,2014/3/4,420,25.4,16.52,81.76,公寓(5樓含以下無電梯)
庵前４２之８號,2014/3/4,380,22.7,16.71,81.97,公寓(5樓含以下無電梯)
庵前４２之８號二樓,2014/3/4,350,20.9,16.71,81.97,公寓(5樓含以下無電梯)
庵前４２之８號三樓,2014/3/4,380,22.7,16.71,81.97,公寓(5樓含以下無電梯)
庵前４２之５號,2014/3/4,390,23.3,16.71,81.97,公寓(5樓含以下無電梯)
西海路三段１０６巷１５弄１號三樓,2014/2/26,470,21.1,22.29,84.56,公寓(5樓含以下無電梯)
浯江街９巷１號２樓,2014/2/26,680,19.5,34.84,76.03,公寓(5樓含以下無電梯)
珠浦西路６巷２弄３－１號三樓,2014/1/22,270,24.6,10.97,77.83,套房(1房(1廳)1衛)
民族路３２之１號３樓,2013/12/31,525,22.9,22.94,77.1,公寓(5樓含以下無電梯)
中興路２０５巷１８號二樓,2013/12/13,350,21.1,16.59,79.19,華廈(10層含以下有電梯)
民權路２２６巷４弄６號２樓,2013/10/15,910,26.4,34.52,73.57,華廈(10層含以下有電梯)
西海路３段３９巷２弄１８號２樓,2013/10/9,412,13.7,30.07,91.21,公寓(5樓含以下無電梯)
珠浦南路７４巷３７號四樓,2013/9/5,900,27.8,32.42,77.81,公寓(5樓含以下無電梯)
民族路２１０巷９之１號２樓,2013/8/23,439,20.2,21.68,79,公寓(5樓含以下無電梯)
珠浦西路２８巷２弄５號三樓,2013/7/17,1000,27,37,80.75,公寓(5樓含以下無電梯)
民權路２２６巷４弄６號四樓,2013/7/5,670,19.4,34.52,73.57,公寓(5樓含以下無電梯)
民權路１２２巷１弄６之１號３樓,2013/7/3,580,25.6,22.7,77.25,公寓(5樓含以下無電梯)
珠浦西路２８巷４弄１之１號１樓,2013/6/27,800,30.4,26.28,75.35,公寓(5樓含以下無電梯)
珠浦西路２８巷４弄１之１號２樓,2013/6/27,670,25.5,26.28,75.35,公寓(5樓含以下無電梯)
珠浦西路２８巷４弄１之１號３樓,2013/6/27,650,24.7,26.28,75.35,公寓(5樓含以下無電梯)
珠浦西路２８巷４弄１之１號４樓,2013/6/27,610,23.2,26.28,75.35,公寓(5樓含以下無電梯)
珠浦西路２８巷４弄１之１號５樓,2013/6/27,610,23.2,26.28,75.35,公寓(5樓含以下無電梯)
民權路２２６巷４弄１５號５樓,2013/6/26,740,24.9,29.76,80.42,公寓(5樓含以下無電梯)
民權路２２６巷４弄７號二樓,2013/5/15,540,15.6,34.52,73.57,華廈(10層含以下有電梯)
民權路２２６巷４弄７號三樓,2013/5/15,530,15.4,34.52,73.57,華廈(10層含以下有電梯)
民權路２２６巷４弄７號四樓,2013/5/15,660,19.1,34.52,73.57,華廈(10層含以下有電梯)
民權路２２６巷４弄７號五樓,2013/5/15,595,17.2,34.52,73.57,華廈(10層含以下有電梯)
民權路２２６巷４弄７號六樓,2013/5/15,565,16.4,34.52,73.57,華廈(10層含以下有電梯)
民權路２２６巷４弄６號三樓,2013/5/15,660,19.1,34.52,73.57,華廈(10層含以下有電梯)
民權路２２６巷４弄７號七樓,2013/5/15,650,19.5,33.25,74.22,華廈(10層含以下有電梯)
民權路２２６巷４弄６號五樓,2013/5/15,610,17.7,34.52,73.57,華廈(10層含以下有電梯)
民權路２２６巷４弄６號六樓,2013/5/15,560,16.2,34.52,73.57,華廈(10層含以下有電梯)
民權路２２６巷４弄６號七樓,2013/5/15,650,19.5,33.25,74.22,華廈(10層含以下有電梯)
民權路６３巷５號,2013/5/1,780,33.2,23.46,77.62,華廈(10層含以下有電梯)
西海路三段１０６巷１６弄１號二樓,2013/4/16,450,17.4,25.92,79.68,公寓(5樓含以下無電梯)
中興路２０５巷１６號４樓,2013/4/1,705,23.1,30.52,70.29,華廈(10層含以下有電梯)
金山路２２號,2013/3/12,650,23.2,28.06,83.76,公寓(5樓含以下無電梯)
大學路５３巷６弄１５號二樓,2013/3/7,165,19.8,8.35,75.8,套房(1房(1廳)1衛)
西海路３段８１巷３１號３樓,2013/2/26,261,9.5,27.37,94.36,公寓(5樓含以下無電梯)
珠浦西路５０巷１１弄１０號二樓之１,2013/2/18,275,23.4,11.75,63.83,套房(1房(1廳)1衛)
民權路１２２巷１弄６號四樓之１,2013/2/1,200,18.6,10.73,75.95,公寓(5樓含以下無電梯)
民權路６３巷３號五樓,2013/1/22,500,20.5,24.35,65.56,華廈(10層含以下有電梯)
民權路６３巷５號２樓,2013/1/22,570,22,25.89,70.36,華廈(10層含以下有電梯)
民權路６３巷５號三樓,2013/1/22,530,20.5,25.89,70.36,華廈(10層含以下有電梯)
民權路６３巷５號四樓,2013/1/22,470,18.2,25.89,70.36,華廈(10層含以下有電梯)
民權路６３巷５號五樓,2013/1/22,530,20.5,25.89,70.36,華廈(10層含以下有電梯)
環島北路一段３８巷１弄３號３樓,2013/1/18,520,16.1,32.22,88.89,公寓(5樓含以下無電梯)
環島北路一段３８巷１弄５號３樓,2013/1/18,505,16.1,31.32,89.25,公寓(5樓含以下無電梯)
民權路２２６巷２弄１３號二樓,2013/1/8,630,15.7,40.06,64.28,華廈(10層含以下有電梯)
民權路２２６巷２弄１３號三樓,2013/1/8,610,15,40.79,63.13,華廈(10層含以下有電梯)
民權路２２６巷２弄１３號四樓,2013/1/8,600,15,40.02,64.35,華廈(10層含以下有電梯)
民權路２２６巷２弄１３號五樓,2013/1/8,625,15.6,40.02,64.35,華廈(10層含以下有電梯)
