Location,Year of transaction,Total price (million),price,Total area,Percentage of main building,Type
小古崗３３之７號三樓,2019/9/11,506,19.5,25.93,83.15,公寓(5樓含以下無電梯)
小古崗３３之６號三樓,2019/9/11,506,19.4,26.12,83.28,公寓(5樓含以下無電梯)
金門城２０３號四樓,2019/8/30,390,18.6,21,81.05,華廈(10層含以下有電梯)
金門城２０３號五樓,2019/8/30,357,17,21,81.05,華廈(10層含以下有電梯)
金門城２０６號四樓,2019/8/30,560,19.8,28.32,75,華廈(10層含以下有電梯)
金門城２０３號,2019/8/30,450,21.4,21,81.05,華廈(10層含以下有電梯)
金門城３３之３號三樓,2019/8/7,490,17.3,28.38,84.56,公寓(5樓含以下無電梯)
環島北路一段３８巷１６弄５號,2019/7/28,660,20.9,31.64,89.46,公寓(5樓含以下無電梯)
賢聚４２之８號三樓,2019/7/23,670,19.7,34.06,85.84,公寓(5樓含以下無電梯)
小古崗１９之９號,2019/7/10,580,22.2,26.09,91.93,公寓(5樓含以下無電梯)
賢安里浴井３２號,2019/7/8,450,20.9,21.58,93.27,公寓(5樓含以下無電梯)
民權路２２６巷５弄２２號５樓,2019/7/4,910,29,31.43,78.69,華廈(10層含以下有電梯)
賢聚４２之５號二樓,2019/7/3,650,20.9,31.09,76.29,華廈(10層含以下有電梯)
金門城２０６號三樓,2019/7/3,541,19.1,28.32,75,華廈(10層含以下有電梯)
小古崗３３之７號二樓,2019/6/30,460,17.7,25.93,83.15,公寓(5樓含以下無電梯)
小古崗３３之７號,2019/6/28,510,19.7,25.93,83.15,公寓(5樓含以下無電梯)
浴井３１號三樓,2019/6/24,460,19.8,23.25,84.91,公寓(5樓含以下無電梯)
民權路１２２巷５弄８之２號二樓,2019/6/17,282,24.8,11.35,55.97,華廈(10層含以下有電梯)
民權路１２２巷５弄８之２號三樓,2019/6/17,282,24.8,11.35,55.97,華廈(10層含以下有電梯)
民權路１２２巷５弄８之２號四樓,2019/6/17,282,24.8,11.35,55.97,華廈(10層含以下有電梯)
古城里金門城３３之３號２樓,2019/6/17,450,15.9,28.38,84.56,公寓(5樓含以下無電梯)
山前６５號二樓,2019/6/15,500,20,25.01,75.86,公寓(5樓含以下無電梯)
民生路２５號六樓之７,2019/6/13,700,27.5,25.42,,辦公商業大樓
金門城８８之１０號二樓,2019/6/6,490,18.6,26.41,77.5,華廈(10層含以下有電梯)
金門城８８之９號三樓,2019/5/25,449,19.1,23.56,80.58,華廈(10層含以下有電梯)
珠浦西路６巷６弄３號二樓,2019/5/24,680,28.5,23.82,82.24,公寓(5樓含以下無電梯)
東沙１３之１號三樓,2019/5/15,400,14.1,28.31,86.74,公寓(5樓含以下無電梯)
浴井３１號,2019/5/8,470,20.2,23.25,84.91,公寓(5樓含以下無電梯)
珠浦南路７４巷２９之１號二樓,2019/4/19,478,24.2,19.77,75.23,華廈(10層含以下有電梯)
浯江北堤路１６號７樓之３,2019/4/15,660,22.2,29.68,62.38,華廈(10層含以下有電梯)
小西門４０號,2019/4/12,412,22.4,18.41,83.53,公寓(5樓含以下無電梯)
珠浦南路５０巷３弄７號四樓,2019/3/27,360,22.2,16.2,63.14,華廈(10層含以下有電梯)
西海路三段１０６巷１３弄５號３樓,2019/3/27,660,20.5,32.25,74.27,華廈(10層含以下有電梯)
珠浦南路４４巷１２弄９號二樓之２,2019/3/26,350,39.8,8.79,65.91,華廈(10層含以下有電梯)
浴井７９號二樓,2019/3/19,730,19.4,37.67,87.95,公寓(5樓含以下無電梯)
金門城１１６之３號,2019/3/15,500,15.9,31.51,87.95,公寓(5樓含以下無電梯)
珠浦西路５０巷１１弄１０號二樓之２,2019/3/15,262,21.1,12.41,65.77,公寓(5樓含以下無電梯)
金門城８８之８號二樓,2019/3/15,630,18.9,33.33,80.34,華廈(10層含以下有電梯)
小西門５０之６號二樓,2019/3/14,436,16.5,26.44,76.73,公寓(5樓含以下無電梯)
西海路三段１０６巷１３弄２號３樓,2019/3/14,690,20.4,33.78,75.9,華廈(10層含以下有電梯)
西海路三段１０６巷１３弄３號３樓,2019/3/14,685,20.8,32.94,76.4,華廈(10層含以下有電梯)
西海路三段１０６巷１３弄１號３樓,2019/3/14,690,20.3,34.01,76.07,華廈(10層含以下有電梯)
西海路三段１０６巷１３弄１號４樓,2019/3/14,700,20.6,34.01,76.07,華廈(10層含以下有電梯)
西海路三段１０６巷１３弄２號４樓,2019/3/14,692.5,20.5,33.78,75.9,華廈(10層含以下有電梯)
西海路三段１０６巷１３弄５號４樓,2019/3/14,672.5,20.9,32.25,74.27,華廈(10層含以下有電梯)
珠浦南路５０巷３弄６號四樓,2019/3/12,362,21.4,16.94,63.52,華廈(10層含以下有電梯)
金門城１６９之９號二樓,2019/3/8,575,17.2,33.34,87.41,公寓(5樓含以下無電梯)
西海路三段１０６巷１３弄３號４樓,2019/3/7,680,20.6,32.94,76.4,華廈(10層含以下有電梯)
小西門５０之３號二樓,2019/2/25,439.4,16.6,26.44,76.73,公寓(5樓含以下無電梯)
小西門５０之５號二樓,2019/2/25,510,16.6,30.69,80,公寓(5樓含以下無電梯)
西海路三段１０６巷１３弄５號五樓,2019/2/22,690,21.4,32.25,74.27,華廈(10層含以下有電梯)
西海路三段１０６巷１３弄３號五樓,2019/2/22,690,20.9,32.94,76.4,華廈(10層含以下有電梯)
光前路７６巷１號四樓,2019/2/21,750,23.5,31.91,60.69,華廈(10層含以下有電梯)
小古崗３３之６號,2019/2/20,518,19.8,26.12,83.28,公寓(5樓含以下無電梯)
小西門５０之２號二樓,2019/2/18,510,16.6,30.69,80,公寓(5樓含以下無電梯)
民權路２２６巷２弄１２號十樓之２,2019/1/25,1842,38,48.48,67.21,住宅大樓(11層含以上有電梯)
小古崗３３之６號二樓,2019/1/22,470,18,26.12,83.28,公寓(5樓含以下無電梯)
民權路１２２巷５弄８之２號二樓,2019/1/5,282,24.8,11.35,55.97,華廈(10層含以下有電梯)
民權路１２２巷５弄８之２號三樓,2019/1/5,282,24.8,11.35,55.97,華廈(10層含以下有電梯)
民權路１２２巷５弄８之２號四樓,2019/1/5,282,24.8,11.35,55.97,華廈(10層含以下有電梯)
東沙１３之１號,2018/12/31,500,17.7,28.31,86.74,公寓(5樓含以下無電梯)
金門城７３之３號３樓之１,2018/12/22,400,20.4,19.65,83.65,公寓(5樓含以下無電梯)
賢聚４２之５號三樓,2018/12/13,660,21.2,31.09,76.29,華廈(10層含以下有電梯)
西海路三段７２巷３弄１６號,2018/11/19,325,14.1,23.02,96.93,公寓(5樓含以下無電梯)
西海路三段３９巷２弄１６號３樓,2018/11/4,430,14.5,29.69,91.09,公寓(5樓含以下無電梯)
賢聚４０之５號二樓,2018/10/26,526,22.6,23.27,85.71,公寓(5樓含以下無電梯)
金門城８８之１０號五樓,2018/10/24,532,20.1,26.41,77.5,華廈(10層含以下有電梯)
浴井８６號,2018/10/23,660,23.9,27.59,88.45,公寓(5樓含以下無電梯)
金門城１０６之９號二樓,2018/10/1,488,19.4,25.2,73.11,公寓(5樓含以下無電梯)
小西門３９號三樓,2018/9/26,380,19.6,19.36,76.02,公寓(5樓含以下無電梯)
小西門３９號,2018/9/26,412,22.7,18.16,81.06,公寓(5樓含以下無電梯)
小西門４０號三樓,2018/9/26,375,18.6,20.14,76.33,公寓(5樓含以下無電梯)
小西門４０號二樓,2018/9/26,370,18.4,20.14,76.33,公寓(5樓含以下無電梯)
小西門３９號二樓,2018/9/26,365,18.9,19.36,76.02,公寓(5樓含以下無電梯)
浴井３５號,2018/9/22,470,20.3,23.11,92.63,公寓(5樓含以下無電梯)
珠浦南路７４巷２７號５樓,2018/9/21,750,29.1,25.74,76.82,華廈(10層含以下有電梯)
金門城８８之１０號三樓,2018/9/20,515,19.5,26.41,77.5,華廈(10層含以下有電梯)
浴井３３號,2018/9/16,516,22.8,22.64,88.79,公寓(5樓含以下無電梯)
西海路三段３９巷２弄１７號１樓,2018/9/15,510,17.2,29.69,91.09,公寓(5樓含以下無電梯)
小西門１之１１號二樓,2018/9/13,425,15.9,26.74,79.05,公寓(5樓含以下無電梯)
西海路三段２２巷２３弄４號２樓,2018/9/13,380,13.6,28.01,93.01,公寓(5樓含以下無電梯)
金門城１０６之９號三樓,2018/9/10,460,18.3,25.2,73.11,公寓(5樓含以下無電梯)
民權路２２６巷２弄１２號九樓之３,2018/9/10,1750,32,70.32,67.2,住宅大樓(11層含以上有電梯)
珠浦南路４４巷１２弄９號三樓之２,2018/9/5,350,39.8,8.79,65.91,華廈(10層含以下有電梯)
民族路３２之１號,2018/9/3,1150,25.1,45.88,77.09,公寓(5樓含以下無電梯)
金門城１５９之９號,2018/8/22,190,23.1,8.22,86.83,公寓(5樓含以下無電梯)
